,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
918,918,16.45880037048574,2026-03-02 22:20:48.925124,2026-03-02 22:33:55.792983,0 days 00:13:06.867859,0.49041516119295603,0.6833451452730266,0.0004950065289904362,0.5213369734925619,0.4143350076395537,0.5050826957700758,1.224337487012602,0.06943756920573589,1.9242488512401232,0.86954125084469,0.12398357308004616,1.5796923639250313,0.9538261632457538,COMPLETE
1150,1150,17.044494374553434,2026-03-03 07:48:49.122343,2026-03-03 08:01:03.002759,0 days 00:12:13.880416,0.24973613086347463,0.6122066837475341,0.0003336018147386384,0.7585496004922581,0.4815222294435353,0.5081447814172797,1.0009898934348929,0.05816666883007251,2.5676860760093128,0.922723073900302,0.10347111850043197,1.5071522439044427,0.9544809647388605,COMPLETE
910,910,17.342152422189365,2026-03-02 21:51:51.255449,2026-03-02 22:14:19.981706,0 days 00:22:28.726257,0.4730959101823044,0.7096548551715358,0.055422626814702565,0.6800363865825869,0.46296502979363624,0.4964404385686308,1.518144917593795,0.001130220093994709,2.7864723668232267,0.8821896750838301,0.09373152352456926,1.8188163989073431,0.932708743965647,COMPLETE
966,966,17.375508015856028,2026-03-03 00:15:45.203596,2026-03-03 00:27:57.929029,0 days 00:12:12.725433,0.4998747910268919,0.693077441461064,0.0007961373972702044,1.255277429299457,0.2582404550421978,0.5069204642105074,1.010412398067205,0.08184628221848245,2.4245658653135838,0.7643944721894567,0.08743223566986155,1.0052995605125166,0.9621356429364866,COMPLETE
668,668,17.562138810350426,2026-03-02 11:55:38.669442,2026-03-02 12:07:22.898414,0 days 00:11:44.228972,0.4884652771203235,0.6450355679706873,0.08000745969117251,1.2108515570580327,0.4443518792587456,0.40459478427076967,1.2204825102108299,0.0003632475587674525,2.7253730459826517,0.839958322775048,0.07205665982743008,1.368871795239391,0.8640553938223383,COMPLETE
1659,1659,18.311921853423527,2026-03-04 04:27:24.420530,2026-03-04 04:39:34.904112,0 days 00:12:10.483582,0.4930925700654676,0.655891534937442,0.1442367601050445,0.728690229279543,0.22941199965113426,0.41523284359865703,1.2405946730624822,0.000309376392871078,10.887117112830413,0.8717848450891035,0.02166217606665757,1.6404429252706452,0.8682248163163818,COMPLETE
1715,1715,18.679148406530306,2026-03-04 06:47:10.382693,2026-03-04 06:59:27.657521,0 days 00:12:17.274828,0.2569636727040069,0.6888409691497822,0.0006832232887310362,1.2748086920681494,0.46264007481069935,0.38275155911901954,1.3302324470699272,0.06675773249898194,2.0732664536851804,0.873613505545679,0.055734888190038565,1.009996723133943,0.17594069022986572,COMPLETE
600,600,18.702776619364137,2026-03-02 09:10:26.164978,2026-03-02 09:22:21.278468,0 days 00:11:55.113490,0.49170347583585516,0.6605042159646566,0.05188081061121087,1.3674273773768448,0.4445814697563209,0.4675570352994465,1.239297015994759,0.001692667105713023,2.8574228087350617,0.8750297385876914,0.07776212611454214,1.723919603517491,0.8361759687105185,COMPLETE
710,710,18.859480846040224,2026-03-02 13:34:56.573880,2026-03-02 13:46:24.524484,0 days 00:11:27.950604,0.35352467927698705,0.7005010204911609,0.0015430708228630764,1.5166688466604554,0.9105267349256128,0.46467865623718446,1.1844488508881938,0.03653359548112756,3.0711558029246047,0.8149813267933648,0.1680051558711113,1.730418754626282,0.9047312372660873,COMPLETE
1737,1737,18.87209127395363,2026-03-04 07:41:01.419052,2026-03-04 07:53:08.834131,0 days 00:12:07.415079,0.3284663191647476,0.6455106857823896,0.0011548187659725369,1.3115947299570279,0.41695389830594787,0.48211265070308423,1.3691609541301026,0.06677769840153937,1.6832401001293729,0.9040400677127285,0.049922031017596895,1.3758796154412152,0.8006032538101274,COMPLETE
